r1bqkbnr/1ppppp2/n5pp/p3N3/1P5P/8/P1PPPPP1/RNBQKB1R w KQkq - 0 5,14cp,0.5
r1bqkbnr/1ppppp2/n5pp/p3N3/1P5P/8/PBPPPPP1/RN1QKB1R b KQkq - 1 5,7cp,0.5
r1bqkb1r/1ppppp2/n4npp/p3N3/1P5P/8/PBPPPPP1/RN1QKB1R w KQkq - 2 6,-4cp,0.5
r1bqkb1r/1ppppp2/n4npp/pP2N3/7P/8/PBPPPPP1/RN1QKB1R b KQkq - 0 6,4cp,0.5
r1bqkb1r/1ppppp2/5npp/pPn1N3/7P/8/PBPPPPP1/RN1QKB1R w KQkq - 1 7,10cp,0.5
r1bqkb1r/1ppppp2/5npp/pPn1N2P/8/8/PBPPPPP1/RN1QKB1R b KQkq - 0 7,-5cp,0.5
r1bqkb1r/1pp1pp2/3p1npp/pPn1N2P/8/8/PBPPPPP1/RN1QKB1R w KQkq - 0 8,-2cp,0.5
r1bqkb1r/1pp1pp2/3p1npp/pPn4P/8/3N4/PBPPPPP1/RN1QKB1R b KQkq - 1 8,3cp,0.5
r1bqkb1r/1pp1pp2/3p1npp/pP5P/8/3n4/PBPPPPP1/RN1QKB1R w KQkq - 0 9,-1cp,0.5
r1bqkb1r/1pp1pp2/3p1npp/pP5P/8/3P4/PB1PPPP1/RN1QKB1R b KQkq - 0 9,4cp,0.5
r1bqkb1r/1pp1pp2/3p1n1p/pP5p/8/3P4/PB1PPPP1/RN1QKB1R w KQkq - 0 10,-6cp,0.5
r1bqkb1r/1pp1pp2/3p1n1p/pP5R/8/3P4/PB1PPPP1/RN1QKB2 b Qkq - 0 10,6cp,0.5
r1bqk2r/1pp1ppb1/3p1n1p/pP5R/8/3P4/PB1PPPP1/RN1QKB2 w Qkq - 1 11,-15cp,0.5
r1bqk2r/1pp1ppb1/3p1n1p/pP6/8/3P4/PB1PPPP1/RN1QKB1R b Qkq - 2 11,10cp,0.5
r1bq1rk1/1pp1ppb1/3p1n1p/pP6/8/3P4/PB1PPPP1/RN1QKB1R w Q - 3 12,-19cp,0.5
r1bq1rk1/1pp1ppb1/3p1n1p/pP6/8/2NP4/PB1PPPP1/R2QKB1R b Q - 4 12,18cp,0.5
r1bq1rk1/1pp2pb1/3p1n1p/pP2p3/8/2NP4/PB1PPPP1/R2QKB1R w Q - 0 13,-10cp,0.5
r1bq1rk1/1pp2pb1/3p1n1p/pP2p3/8/2NP2P1/PB1PPP2/R2QKB1R b Q - 0 13,15cp,0.5
r1bq1rk1/1p3pb1/2pp1n1p/pP2p3/8/2NP2P1/PB1PPP2/R2QKB1R w Q - 0 14,-8cp,0.5
r1bq1rk1/1p3pb1/2pp1n1p/pP2p3/8/2NP2P1/PB1PPPB1/R2QK2R b Q - 1 14,12cp,0.5
r1bq1rk1/1p3pb1/3p1n1p/pp2p3/8/2NP2P1/PB1PPPB1/R2QK2R w Q - 0 15,-13cp,0.5
r1bq1rk1/1p3pb1/3p1n1p/pN2p3/8/3P2P1/PB1PPPB1/R2QK2R b Q - 0 15,13cp,0.5
r1b2rk1/1p3pb1/1q1p1n1p/pN2p3/8/3P2P1/PB1PPPB1/R2QK2R w Q - 1 16,-9cp,0.5
r1b2rk1/1p3pb1/1q1p1n1p/pN2p3/P7/3P2P1/1B1PPPB1/R2QK2R b Q - 0 16,6cp,0.5
r4rk1/1p3pb1/1q1pbn1p/pN2p3/P7/3P2P1/1B1PPPB1/R2QK2R w Q - 1 17,-8cp,0.5
r4rk1/1p3pb1/1q1pbn1p/pN2p3/P7/3P2P1/1B1PPPB1/2RQK2R b - - 2 17,9cp,0.5
2r2rk1/1p3pb1/1q1pbn1p/pN2p3/P7/3P2P1/1B1PPPB1/2RQK2R w - - 3 18,-15cp,0.5
2r2rk1/1p3pb1/1q1pbn1p/pN2p3/P7/3P2P1/1B1PPPB1/2RQKR2 b - - 4 18,20cp,0.5
