rnbqkbnr/pp3p1p/2p1p1p1/3p2B1/3P4/2P4P/PP2PPP1/RN1QKBNR w KQkq - 0 5,692cp,1
rnbBkbnr/pp3p1p/2p1p1p1/3p4/3P4/2P4P/PP2PPP1/RN1QKBNR b KQkq - 0 5,-699cp,1
rnbk1bnr/pp3p1p/2p1p1p1/3p4/3P4/2P4P/PP2PPP1/RN1QKBNR w KQ - 0 6,696cp,1
rnbk1bnr/pp3p1p/2p1p1p1/3p4/3P4/2P2N1P/PP2PPP1/RN1QKB1R b KQ - 1 6,-685cp,1
rnbk1b1r/pp3p1p/2p1pnp1/3p4/3P4/2P2N1P/PP2PPP1/RN1QKB1R w KQ - 2 7,684cp,1
rnbk1b1r/pp3p1p/2p1pnp1/3p4/3P4/2P1PN1P/PP3PP1/RN1QKB1R b KQ - 0 7,-684cp,1
rnbk3r/pp3pbp/2p1pnp1/3p4/3P4/2P1PN1P/PP3PP1/RN1QKB1R w KQ - 1 8,703cp,1
rnbk3r/pp3pbp/2p1pnp1/3p4/3P4/2PBPN1P/PP3PP1/RN1QK2R b KQ - 2 8,-687cp,1
r1bk3r/pp1n1pbp/2p1pnp1/3p4/3P4/2PBPN1P/PP3PP1/RN1QK2R w KQ - 3 9,690cp,1
r1bk3r/pp1n1pbp/2p1pnp1/3p4/3P4/2PBPN1P/PP3PP1/RN1Q1RK1 b - - 4 9,-690cp,1
r1b4r/ppkn1pbp/2p1pnp1/3p4/3P4/2PBPN1P/PP3PP1/RN1Q1RK1 w - - 5 10,690cp,1
r1b4r/ppkn1pbp/2p1pnp1/3p4/3P4/2PBPN1P/PP1N1PP1/R2Q1RK1 b - - 6 10,-701cp,1
rkb4r/pp1n1pbp/2p1pnp1/3p4/3P4/2PBPN1P/PP1N1PP1/R2Q1RK1 w - - 7 11,693cp,1
rkb4r/pp1n1pbp/2p1pnp1/3p4/3P4/2PBPN1P/PP1NQPP1/R4RK1 b - - 8 11,-688cp,1
rkb1r3/pp1n1pbp/2p1pnp1/3p4/3P4/2PBPN1P/PP1NQPP1/R4RK1 w - - 9 12,696cp,1
rkb1r3/pp1n1pbp/2p1pnp1/3p4/3P4/2PBPN1P/PP1NQPP1/3R1RK1 b - - 10 12,-690cp,1
rkb1r3/pp1n1pb1/2p1pnpp/3p4/3P4/2PBPN1P/PP1NQPP1/3R1RK1 w - - 0 13,696cp,1
rkb1r3/pp1n1pb1/2p1pnpp/3p4/3PP3/2PB1N1P/PP1NQPP1/3R1RK1 b - - 0 13,-695cp,1
rkb1r3/pp1n1pb1/2p2npp/3pp3/3PP3/2PB1N1P/PP1NQPP1/3R1RK1 w - - 0 14,695cp,1
rkb1r3/pp1n1pb1/2p2npp/3pp3/3PP3/2PB1N1P/PP1NQPP1/3RR1K1 b - - 1 14,-693cp,1
rkb1r3/pp1n1pb1/2p3pp/3pp2n/3PP3/2PB1N1P/PP1NQPP1/3RR1K1 w - - 2 15,693cp,1
rkb1r3/pp1n1pb1/2p3pp/3pp2n/3PP3/2PB1NPP/PP1NQP2/3RR1K1 b - - 0 15,-695cp,1
rkb1r3/pp1n1pb1/2p2npp/3pp3/3PP3/2PB1NPP/PP1NQP2/3RR1K1 w - - 1 16,694cp,1
rkb1r3/pp1n1pb1/2p2npp/3pp3/3PP3/P1PB1NPP/1P1NQP2/3RR1K1 b - - 0 16,-681cp,1
rkb1r3/p2n1pb1/1pp2npp/3pp3/3PP3/P1PB1NPP/1P1NQP2/3RR1K1 w - - 0 17,680cp,1
rkb1r3/p2n1pb1/1pp2npp/3pp3/2PPP3/P2B1NPP/1P1NQP2/3RR1K1 b - - 0 17,-658cp,1
rkb1r3/p2n1pb1/1pp2npp/3p4/2PpP3/P2B1NPP/1P1NQP2/3RR1K1 w - - 0 18,671cp,1
rkb1r3/p2n1pb1/1pp2npp/3p4/2PNP3/P2B2PP/1P1NQP2/3RR1K1 b - - 0 18,-682cp,1
rk2r3/pb1n1pb1/1pp2npp/3p4/2PNP3/P2B2PP/1P1NQP2/3RR1K1 w - - 1 19,669cp,1
rk2r3/pb1n1pb1/1pp2npp/3p4/2PNP3/P2BQ1PP/1P1N1P2/3RR1K1 b - - 2 19,-663cp,1
rk2r3/pb3pb1/1pp2npp/3pn3/2PNP3/P2BQ1PP/1P1N1P2/3RR1K1 w - - 3 20,682cp,1
rk2r3/pb3pb1/1pp2npp/3Pn3/3NP3/P2BQ1PP/1P1N1P2/3RR1K1 b - - 0 20,-689cp,1
rk2r3/pb3pb1/1pp2npp/3P4/3NP3/P2nQ1PP/1P1N1P2/3RR1K1 w - - 0 21,696cp,1
rk2r3/pb3pb1/1pp2npp/3P4/3NP3/P2Q2PP/1P1N1P2/3RR1K1 b - - 0 21,-704cp,1
rk2r3/pb3pb1/1p3npp/3p4/3NP3/P2Q2PP/1P1N1P2/3RR1K1 w - - 0 22,717cp,1
rk2r3/pb3pb1/1p3npp/3P4/3N4/P2Q2PP/1P1N1P2/3RR1K1 b - - 0 22,-736cp,1
