r1bqkb1r/p1pppppp/n7/1p1n4/8/3PBP2/PPPKP1PP/RN1Q1BNR w kq - 4 5,-87cp,0.5
r1bqkb1r/p1pppppp/n7/1p1n4/P7/3PBP2/1PPKP1PP/RN1Q1BNR b kq - 0 5,102cp,0.5
r1bqkb1r/p1pppppp/n7/1p6/P7/3PnP2/1PPKP1PP/RN1Q1BNR w kq - 0 6,-89cp,0.5
r1bqkb1r/p1pppppp/n7/1p6/P7/3PKP2/1PP1P1PP/RN1Q1BNR b kq - 0 6,104cp,0.5
r1bqkb1r/p1pppppp/n7/8/p7/3PKP2/1PP1P1PP/RN1Q1BNR w kq - 0 7,-102cp,0.5
r1bqkb1r/p1pppppp/n7/8/R7/3PKP2/1PP1P1PP/1N1Q1BNR b kq - 0 7,92cp,0.5
r1bqkb1r/p1pppppp/8/2n5/R7/3PKP2/1PP1P1PP/1N1Q1BNR w kq - 1 8,-92cp,0.5
r1bqkb1r/p1pppppp/8/2n5/6R1/3PKP2/1PP1P1PP/1N1Q1BNR b kq - 2 8,117cp,0.5
r1bqkb1r/p1pp1ppp/8/2n1p3/6R1/3PKP2/1PP1P1PP/1N1Q1BNR w kq - 0 9,-110cp,0.5
r1bqkb1r/p1pp1ppp/8/2n1p3/1P4R1/3PKP2/2P1P1PP/1N1Q1BNR b kq - 0 9,142cp,0.5
r1bqkb1r/p1pp1pp1/8/2n1p2p/1P4R1/3PKP2/2P1P1PP/1N1Q1BNR w kq - 0 10,-142cp,0.5
r1bqkb1r/p1pp1pp1/8/2n1p2p/1P6/3PKPR1/2P1P1PP/1N1Q1BNR b kq - 1 10,151cp,0.5
r1bqkb1r/p1pp1pp1/4n3/4p2p/1P6/3PKPR1/2P1P1PP/1N1Q1BNR w kq - 2 11,-147cp,0.5
r1bqkb1r/p1pp1pp1/4n3/4p2p/1P6/2PPKPR1/4P1PP/1N1Q1BNR b kq - 0 11,147cp,0.5
r1bqk2r/p1ppbpp1/4n3/4p2p/1P6/2PPKPR1/4P1PP/1N1Q1BNR w kq - 1 12,-142cp,0.5
r1bqk2r/p1ppbpp1/4n3/4p2p/1P6/2PP1PR1/4PKPP/1N1Q1BNR b kq - 2 12,157cp,0.5
