rn1qkbnr/1bpp1ppp/pp6/4p3/1PP1P3/7P/P2P1PP1/RNBQKBNR w KQkq - 0 5,-26cp,0.5
rn1qkbnr/1bpp1ppp/pp6/4p3/1PP1P3/7P/PB1P1PP1/RN1QKBNR b KQkq - 1 5,24cp,0.5
rn1qk1nr/1bpp1ppp/pp6/4p3/1bP1P3/7P/PB1P1PP1/RN1QKBNR w KQkq - 0 6,-28cp,0.5
rn1qk1nr/1bpp1ppp/pp6/4B3/1bP1P3/7P/P2P1PP1/RN1QKBNR b KQkq - 0 6,41cp,0.5
rn1qk2r/1bpp1ppp/pp3n2/4B3/1bP1P3/7P/P2P1PP1/RN1QKBNR w KQkq - 1 7,-24cp,0.5
rn1qk2r/1bpp1ppp/pp3n2/4B3/1bP1P3/2N4P/P2P1PP1/R2QKBNR b KQkq - 2 7,46cp,0.5
rn1qk2r/1bpp1ppp/pp3n2/4B3/2P1P3/2b4P/P2P1PP1/R2QKBNR w KQkq - 0 8,-44cp,0.5
rn1qk2r/1bpp1ppp/pp3n2/8/2P1P3/2B4P/P2P1PP1/R2QKBNR b KQkq - 0 8,44cp,0.5
rn1qk2r/2pp1ppp/pp3n2/8/2P1b3/2B4P/P2P1PP1/R2QKBNR w KQkq - 0 9,-44cp,0.5
rn1qk2r/2pp1ppp/pp3n2/8/2P1b3/2BP3P/P4PP1/R2QKBNR b KQkq - 0 9,44cp,0.5
rn1qk2r/2pp1ppp/pp3nb1/8/2P5/2BP3P/P4PP1/R2QKBNR w KQkq - 1 10,-48cp,0.5
rn1qk2r/2pp1ppp/pp3nb1/8/2P5/2BP1N1P/P4PP1/R2QKB1R b KQkq - 2 10,52cp,0.5
r2qk2r/2pp1ppp/ppn2nb1/8/2P5/2BP1N1P/P4PP1/R2QKB1R w KQkq - 3 11,-54cp,0.5
r2qk2r/2pp1ppp/ppn2nb1/8/2P5/2BP1N1P/P4PP1/2RQKB1R b Kkq - 4 11,49cp,0.5
r2q1rk1/2pp1ppp/ppn2nb1/8/2P5/2BP1N1P/P4PP1/2RQKB1R w K - 5 12,-54cp,0.5
r2q1rk1/2pp1ppp/ppn2nb1/8/2P5/2BP1N1P/P3BPP1/2RQK2R b K - 6 12,52cp,0.5
r2q1rk1/2pp1ppp/ppn3b1/7n/2P5/2BP1N1P/P3BPP1/2RQK2R w K - 7 13,-42cp,0.5
r2q1rk1/2pp1ppp/ppn3b1/7n/2P5/2BP1N1P/P2QBPP1/2R1K2R b K - 8 13,39cp,0.5
r2qr1k1/2pp1ppp/ppn3b1/7n/2P5/2BP1N1P/P2QBPP1/2R1K2R w K - 9 14,-62cp,0.5
r2qr1k1/2pp1ppp/ppn3b1/7n/2P5/2BP1N1P/P2QBPP1/2R2RK1 b - - 10 14,52cp,0.5
r2qr1k1/2pp1ppp/ppn3b1/8/2P2n2/2BP1N1P/P2QBPP1/2R2RK1 w - - 11 15,-44cp,0.5
r2qr1k1/2pp1ppp/ppn3b1/8/2P2n2/2BP1N1P/P2QBPP1/2R1R1K1 b - - 12 15,64cp,0.5
r2qr1k1/2pp1ppp/ppn3b1/8/2P5/2BP1N1P/P2QnPP1/2R1R1K1 w - - 0 16,-63cp,0.5
r2qr1k1/2pp1ppp/ppn3b1/8/2P5/2BP1N1P/P2QRPP1/2R3K1 b - - 0 16,67cp,0.5
r2q2k1/2pp1ppp/ppn3b1/8/2P5/2BP1N1P/P2QrPP1/2R3K1 w - - 0 17,-58cp,0.5
r2q2k1/2pp1ppp/ppn3b1/8/2P5/2BP1N1P/P3QPP1/2R3K1 b - - 0 17,47cp,0.5
r5k1/2ppqppp/ppn3b1/8/2P5/2BP1N1P/P3QPP1/2R3K1 w - - 1 18,-52cp,0.5
r5k1/2ppqppp/ppn3b1/8/2P5/2BP1N1P/PQ3PP1/2R3K1 b - - 2 18,55cp,0.5
r5k1/2ppqppp/ppn5/8/2P5/2Bb1N1P/PQ3PP1/2R3K1 w - - 0 19,-55cp,0.5
r5k1/2ppqpBp/ppn5/8/2P5/3b1N1P/PQ3PP1/2R3K1 b - - 0 19,53cp,0.5
r5k1/2pp1pBp/ppnq4/8/2P5/3b1N1P/PQ3PP1/2R3K1 w - - 1 20,-44cp,0.5
r5k1/2pp1pBp/ppnq4/4N3/2P5/3b3P/PQ3PP1/2R3K1 b - - 2 20,60cp,0.5
4r1k1/2pp1pBp/ppnq4/4N3/2P5/3b3P/PQ3PP1/2R3K1 w - - 3 21,-76cp,0.5
4r1k1/2pp1pBp/ppnq4/8/2P5/3N3P/PQ3PP1/2R3K1 b - - 0 21,77cp,0.5
4r1k1/2pp1pBp/ppn5/8/2P5/3q3P/PQ3PP1/2R3K1 w - - 0 22,-66cp,0.5
4r1kB/2pp1p1p/ppn5/8/2P5/3q3P/PQ3PP1/2R3K1 b - - 1 22,66cp,0.5
4r1kB/2pp1p1p/ppn3q1/8/2P5/7P/PQ3PP1/2R3K1 w - - 2 23,-66cp,0.5
4r1k1/2pp1p1p/ppn3q1/8/2P5/2B4P/PQ3PP1/2R3K1 b - - 3 23,78cp,0.5
4r1k1/2pp1p1p/ppn5/8/2P5/2Bq3P/PQ3PP1/2R3K1 w - - 4 24,-60cp,0.5
4r1kB/2pp1p1p/ppn5/8/2P5/3q3P/PQ3PP1/2R3K1 b - - 5 24,73cp,0.5
4r1kB/2pp1p1p/ppn3q1/8/2P5/7P/PQ3PP1/2R3K1 w - - 6 25,-72cp,0.5
4r1k1/2pp1p1p/ppn3q1/8/2P5/2B4P/PQ3PP1/2R3K1 b - - 7 25,68cp,0.5
6k1/2pp1p1p/ppn3q1/8/2P1r3/2B4P/PQ3PP1/2R3K1 w - - 8 26,-65cp,0.5
6k1/2pp1p1p/ppn3q1/8/2P1r3/2B4P/P2Q1PP1/2R3K1 b - - 9 26,65cp,0.5
6k1/2pp1p1p/ppn5/5q2/2P1r3/2B4P/P2Q1PP1/2R3K1 w - - 10 27,-76cp,0.5
6k1/2pp1p1p/ppn5/5q2/2P1r3/2B4P/P2Q1PP1/4R1K1 b - - 11 27,72cp,0.5
6k1/2pp1p1p/ppn5/5q2/2P5/2B4P/P2Q1PP1/4r1K1 w - - 0 28,-73cp,0.5
6k1/2pp1p1p/ppn5/5q2/2P5/2B4P/P4PP1/4Q1K1 b - - 0 28,78cp,0.5
6k1/2pp1p1p/ppn1q3/8/2P5/2B4P/P4PP1/4Q1K1 w - - 1 29,-75cp,0.5
6k1/2pp1p1p/ppn1q3/8/2P5/2B4P/P2Q1PP1/6K1 b - - 2 29,75cp,0.5
6k1/2pp1p1p/ppn5/8/2q5/2B4P/P2Q1PP1/6K1 w - - 0 30,-75cp,0.5
6k1/2pp1p1p/ppn2B2/8/2q5/7P/P2Q1PP1/6K1 b - - 1 30,78cp,0.5
6k1/2pp1p1p/ppn2B2/8/4q3/7P/P2Q1PP1/6K1 w - - 2 31,-83cp,0.5
6k1/2pQ1p1p/ppn2B2/8/4q3/7P/P4PP1/6K1 b - - 0 31,82cp,0.5
6k1/2pQ1p1p/ppn1qB2/8/8/7P/P4PP1/6K1 w - - 1 32,-86cp,0.5
6k1/2p2p1p/ppn1QB2/8/8/7P/P4PP1/6K1 b - - 0 32,87cp,0.5
6k1/2p4p/ppn1pB2/8/8/7P/P4PP1/6K1 w - - 0 33,-85cp,0.5
6k1/2p4p/ppn1pB2/8/6P1/7P/P4P2/6K1 b - - 0 33,88cp,0.5
8/2p2k1p/ppn1pB2/8/6P1/7P/P4P2/6K1 w - - 1 34,-93cp,0.5
8/2p2k1p/ppn1pB2/8/6P1/7P/P4PK1/8 b - - 2 34,100cp,0.5
8/2p2k1p/1pn1pB2/p7/6P1/7P/P4PK1/8 w - - 0 35,-107cp,0.5
8/2p2k1p/1pn1pB2/p5P1/8/7P/P4PK1/8 b - - 0 35,103cp,0.5
8/2p2k1p/1pn1pB2/6P1/p7/7P/P4PK1/8 w - - 0 36,-105cp,0.5
8/2p2k1p/1pn1pB2/6P1/p7/P6P/5PK1/8 b - - 0 36,107cp,0.5
8/2p1nk1p/1p2pB2/6P1/p7/P6P/5PK1/8 w - - 1 37,-101cp,0.5
8/2p1nk1p/1p2pB2/6P1/p7/P4K1P/5P2/8 b - - 2 37,105cp,0.5
8/2p2k1p/1p2pB2/3n2P1/p7/P4K1P/5P2/8 w - - 3 38,-115cp,0.5
8/2p2k1p/1p2p3/3nB1P1/p7/P4K1P/5P2/8 b - - 4 38,116cp,0.5
8/2p4p/1p2p1k1/3nB1P1/p7/P4K1P/5P2/8 w - - 5 39,-122cp,0.5
8/2p4p/1p2p1k1/3nB1P1/p6P/P4K2/5P2/8 b - - 0 39,122cp,0.5
8/2p4p/1p2p3/3nBkP1/p6P/P4K2/5P2/8 w - - 1 40,-188cp,0.5
8/2p4p/1p2p3/3n1kP1/p6P/P4K2/1B3P2/8 b - - 2 40,153cp,0.5
8/7p/1p2p3/2pn1kP1/p6P/P4K2/1B3P2/8 w - - 0 41,-153cp,0.5
8/7p/1p2p3/2pn1kP1/p6P/P4K2/5P2/2B5 b - - 1 41,167cp,0.5
8/7p/1p2p3/3n1kP1/p1p4P/P4K2/5P2/2B5 w - - 0 42,-168cp,0.5
8/7p/1p2p3/3n1kPP/p1p5/P4K2/5P2/2B5 b - - 0 42,168cp,0.5
8/7p/4p3/1p1n1kPP/p1p5/P4K2/5P2/2B5 w - - 0 43,-151cp,0.5
8/7p/4p1P1/1p1n1k1P/p1p5/P4K2/5P2/2B5 b - - 0 43,153cp,0.5
8/8/4p1p1/1p1n1k1P/p1p5/P4K2/5P2/2B5 w - - 0 44,-167cp,0.5
8/8/4p1pP/1p1n1k2/p1p5/P4K2/5P2/2B5 b - - 0 44,167cp,0.5
8/8/4pnpP/1p3k2/p1p5/P4K2/5P2/2B5 w - - 1 45,-163cp,0.5
8/8/4pnpP/1p3k2/p1p5/P4K2/1B3P2/8 b - - 2 45,172cp,0.5
8/8/5npP/1p2pk2/p1p5/P4K2/1B3P2/8 w - - 0 46,-178cp,0.5
8/8/5npP/1p2pk2/p1p5/P7/1B2KP2/8 b - - 1 46,173cp,0.5
8/8/5n1P/1p2pkp1/p1p5/P7/1B2KP2/8 w - - 0 47,-179cp,0.5
8/8/5n1P/1p2pkp1/p1p5/P4K2/1B3P2/8 b - - 1 47,173cp,0.5
8/8/5n1P/1p2pk2/p1p3p1/P4K2/1B3P2/8 w - - 0 48,-173cp,0.5
8/8/5n1P/1p2pk2/p1p3p1/P7/1B3PK1/8 b - - 1 48,176cp,0.5
8/8/5n1P/1p2p3/p1p2kp1/P7/1B3PK1/8 w - - 2 49,-173cp,0.5
8/8/5n1P/1p2p3/p1p2kp1/P1B5/5PK1/8 b - - 3 49,166cp,0.5
8/8/5n1P/1p2p3/p1p1k1p1/P1B5/5PK1/8 w - - 4 50,-164cp,0.5
8/8/5n1P/1p2p3/p1p1k1p1/P1B3K1/5P2/8 b - - 5 50,190cp,0.5
8/8/5n1P/1p2pk2/p1p3p1/P1B3K1/5P2/8 w - - 6 51,-179cp,0.5
8/8/5n1P/1p2pk2/p1p3p1/P1B5/5PK1/8 b - - 7 51,198cp,0.5
8/8/5nkP/1p2p3/p1p3p1/P1B5/5PK1/8 w - - 8 52,-206cp,0.5
8/8/5nkP/1p2B3/p1p3p1/P7/5PK1/8 b - - 0 52,233cp,0.5
8/8/6kP/1p1nB3/p1p3p1/P7/5PK1/8 w - - 1 53,-249cp,0.5
8/8/6kP/1p1nB3/p1p3p1/P5K1/5P2/8 b - - 2 53,250cp,0.5
8/8/6kP/1p1nB3/p5p1/P1p3K1/5P2/8 w - - 0 54,-245cp,0.5
8/8/6kP/1p1nB3/p5K1/P1p5/5P2/8 b - - 0 54,264cp,0.5
8/8/6kP/1p1nB3/p5K1/P7/2p2P2/8 w - - 0 55,-254cp,0.5
8/8/6kP/1p1n4/p5K1/P7/1Bp2P2/8 b - - 1 55,253cp,0.5
8/8/7k/1p1n4/p5K1/P7/1Bp2P2/8 w - - 0 56,-254cp,0.5
8/8/7k/1p1n1K2/p7/P7/1Bp2P2/8 b - - 1 56,232cp,0.5
8/8/7k/1p3K2/p7/P1n5/1Bp2P2/8 w - - 2 57,-234cp,0.5
8/8/7k/1p2K3/p7/P1n5/1Bp2P2/8 b - - 3 57,234cp,0.5
8/6k1/8/1p2K3/p7/P1n5/1Bp2P2/8 w - - 4 58,-180cp,0.5
8/6k1/8/1p6/p2K4/P1n5/1Bp2P2/8 b - - 5 58,186cp,0.5
8/6k1/8/1p6/p2K4/P1n5/1B3P2/2q5 w - - 0 59,-164cp,0.5
8/6k1/8/1p6/p2K4/P1n5/5P2/2B5 b - - 0 59,155cp,0.5
8/6k1/8/1p6/p2K4/P7/4nP2/2B5 w - - 1 60,-153cp,0.5
8/6k1/8/1pK5/p7/P7/4nP2/2B5 b - - 2 60,149cp,0.5
8/6k1/8/1pK5/p7/P7/5P2/2n5 w - - 0 61,-153cp,0.5
8/6k1/8/1K6/p7/P7/5P2/2n5 b - - 0 61,153cp,0.5
8/6k1/8/1K6/p7/P2n4/5P2/8 w - - 1 62,-141cp,0.5
8/6k1/8/8/K7/P2n4/5P2/8 b - - 0 62,136cp,0.5
8/6k1/8/8/K7/P7/5n2/8 w - - 0 63,-127cp,0.5
8/6k1/8/1K6/8/P7/5n2/8 b - - 1 63,128cp,0.5
8/6k1/8/1K6/4n3/P7/8/8 w - - 2 64,-114cp,0.5
8/6k1/8/1K6/P3n3/8/8/8 b - - 0 64,120cp,0.5
8/6k1/3n4/1K6/P7/8/8/8 w - - 1 65,-120cp,0.5
8/6k1/3n4/8/PK6/8/8/8 b - - 2 65,106cp,0.5
4n3/6k1/8/8/PK6/8/8/8 w - - 3 66,-86cp,0.5
4n3/6k1/8/P7/1K6/8/8/8 b - - 0 66,86cp,0.5
8/6k1/3n4/P7/1K6/8/8/8 w - - 1 67,-81cp,0.5
