rnbqkbnr/pp2p1p1/B2p3p/2p2p2/8/4PQP1/PPPP1P1P/RNB1K1NR w KQkq - 0 5,84cp,0.5
rnbqkbnr/pp2p1p1/B2p3p/2p2p1Q/8/4P1P1/PPPP1P1P/RNB1K1NR b KQkq - 1 5,-70cp,0.5
rnbq1bnr/pp1kp1p1/B2p3p/2p2p1Q/8/4P1P1/PPPP1P1P/RNB1K1NR w KQ - 2 6,70cp,0.5
rnbq1bnr/pp1kp1p1/3p3p/2p2p1Q/8/3BP1P1/PPPP1P1P/RNB1K1NR b KQ - 3 6,-74cp,0.5
rnbq1bnr/ppk1p1p1/3p3p/2p2p1Q/8/3BP1P1/PPPP1P1P/RNB1K1NR w KQ - 4 7,74cp,0.5
rnbq1bnr/ppk1p1p1/3p3p/2p2p1Q/8/2NBP1P1/PPPP1P1P/R1B1K1NR b KQ - 5 7,-66cp,0.5
rnbq1b1r/ppk1p1p1/3p1n1p/2p2p1Q/8/2NBP1P1/PPPP1P1P/R1B1K1NR w KQ - 6 8,59cp,0.5
rnbq1b1r/ppk1pQp1/3p1n1p/2p2p2/8/2NBP1P1/PPPP1P1P/R1B1K1NR b KQ - 7 8,-41cp,0.5
r1bq1b1r/ppk1pQp1/2np1n1p/2p2p2/8/2NBP1P1/PPPP1P1P/R1B1K1NR w KQ - 8 9,41cp,0.5
r1bq1b1r/ppk1pQp1/2np1n1p/2p2p2/8/2NBPNP1/PPPP1P1P/R1B1K2R b KQ - 9 9,-29cp,0.5
rkbq1b1r/pp2pQp1/2np1n1p/2p2p2/8/2NBPNP1/PPPP1P1P/R1B1K2R w KQ - 10 10,44cp,0.5
rkbq1b1r/pp2pQp1/2np1n1p/2p2p2/8/2NBPNP1/PPPP1P1P/R1B2RK1 b - - 11 10,-5cp,0.5
rkbq1b1r/pp3Qp1/2np1n1p/2p1pp2/8/2NBPNP1/PPPP1P1P/R1B2RK1 w - - 0 11,30cp,0.5
rkbq1b1r/pp3Qp1/2np1n1p/1Bp1pp2/8/2N1PNP1/PPPP1P1P/R1B2RK1 b - - 1 11,-25cp,0.5
rkbq1b1r/pp3Qp1/3p1n1p/1Bp1pp2/1n6/2N1PNP1/PPPP1P1P/R1B2RK1 w - - 2 12,29cp,0.5
rkbq1b1r/pp3Qp1/3p1n1p/2p1pp2/Bn6/2N1PNP1/PPPP1P1P/R1B2RK1 b - - 3 12,-25cp,0.5
rkb2b1r/ppq2Qp1/3p1n1p/2p1pp2/Bn6/2N1PNP1/PPPP1P1P/R1B2RK1 w - - 4 13,24cp,0.5
rkb2b1r/ppQ3p1/3p1n1p/2p1pp2/Bn6/2N1PNP1/PPPP1P1P/R1B2RK1 b - - 0 13,-27cp,0.5
r1b2b1r/ppk3p1/3p1n1p/2p1pp2/Bn6/2N1PNP1/PPPP1P1P/R1B2RK1 w - - 0 14,31cp,0.5
r1b2b1r/ppk3p1/3p1n1p/2p1pp2/Bn6/P1N1PNP1/1PPP1P1P/R1B2RK1 b - - 0 14,-29cp,0.5
r1b2b1r/ppk3p1/3p1n1p/2pnpp2/B7/P1N1PNP1/1PPP1P1P/R1B2RK1 w - - 1 15,32cp,0.5
r1b2b1r/ppk3p1/3p1n1p/2pNpp2/B7/P3PNP1/1PPP1P1P/R1B2RK1 b - - 0 15,-28cp,0.5
r1b2b1r/ppk3p1/3p3p/2pnpp2/B7/P3PNP1/1PPP1P1P/R1B2RK1 w - - 0 16,28cp,0.5
r1b2b1r/ppk3p1/3p3p/2pnpp2/8/PB2PNP1/1PPP1P1P/R1B2RK1 b - - 1 16,-40cp,0.5
r4b1r/ppk3p1/3pb2p/2pnpp2/8/PB2PNP1/1PPP1P1P/R1B2RK1 w - - 2 17,44cp,0.5
r4b1r/ppk3p1/3pb2p/2pnpp2/7N/PB2P1P1/1PPP1P1P/R1B2RK1 b - - 3 17,-49cp,0.5
r4b1r/pp4p1/2kpb2p/2pnpp2/7N/PB2P1P1/1PPP1P1P/R1B2RK1 w - - 4 18,49cp,0.5
r4b1r/pp4p1/2kpb1Np/2pnpp2/8/PB2P1P1/1PPP1P1P/R1B2RK1 b - - 5 18,-56cp,0.5
r4br1/pp4p1/2kpb1Np/2pnpp2/8/PB2P1P1/1PPP1P1P/R1B2RK1 w - - 6 19,50cp,0.5
r4br1/pp4p1/2kpb1Np/2pnpp2/8/PB1PP1P1/1PP2P1P/R1B2RK1 b - - 0 19,-47cp,0.5
4rbr1/pp4p1/2kpb1Np/2pnpp2/8/PB1PP1P1/1PP2P1P/R1B2RK1 w - - 1 20,60cp,0.5
4rbr1/pp4p1/2kpb1Np/2pnpp2/8/PB1PP1P1/1PPB1P1P/R4RK1 b - - 2 20,-43cp,0.5
4rbr1/pp4p1/2kpb1Np/2pn1p2/4p3/PB1PP1P1/1PPB1P1P/R4RK1 w - - 0 21,43cp,0.5
4rbr1/pp4p1/2kpb1Np/2pn1p2/4P3/PB2P1P1/1PPB1P1P/R4RK1 b - - 0 21,-38cp,0.5
4rbr1/pp4p1/2kpb1Np/2pn4/4p3/PB2P1P1/1PPB1P1P/R4RK1 w - - 0 22,38cp,0.5
4rbr1/pp4p1/2kpb1Np/2pn4/2P1p3/PB2P1P1/1P1B1P1P/R4RK1 b - - 0 22,-34cp,0.5
4rbr1/pp4p1/1nkpb1Np/2p5/2P1p3/PB2P1P1/1P1B1P1P/R4RK1 w - - 1 23,31cp,0.5
4rbr1/pp4p1/1nkpb1Np/2p5/2P1p3/PB2P1P1/1P1B1P1P/2R2RK1 b - - 2 23,-27cp,0.5
