rn1qkbnr/ppp1ppp1/6bp/3p4/4P1P1/3B1N2/PPPP1P1P/RNBQK2R w KQkq - 3 5,0cp,0.5
rn1qkbnr/ppp1ppp1/6bp/3p4/4P1P1/2NB1N2/PPPP1P1P/R1BQK2R b KQkq - 4 5,-7cp,0.5
rn1qkbnr/ppp1ppp1/6bp/8/4p1P1/2NB1N2/PPPP1P1P/R1BQK2R w KQkq - 0 6,14cp,0.5
rn1qkbnr/ppp1ppp1/6bp/8/4B1P1/2N2N2/PPPP1P1P/R1BQK2R b KQkq - 0 6,-11cp,0.5
rn1qkbnr/ppp1ppp1/7p/8/4b1P1/2N2N2/PPPP1P1P/R1BQK2R w KQkq - 0 7,9cp,0.5
rn1qkbnr/ppp1ppp1/7p/8/4N1P1/5N2/PPPP1P1P/R1BQK2R b KQkq - 0 7,-10cp,0.5
r2qkbnr/ppp1ppp1/2n4p/8/4N1P1/5N2/PPPP1P1P/R1BQK2R w KQkq - 1 8,10cp,0.5
r2qkbnr/ppp1ppp1/2n4p/8/4N1P1/5N2/PPPP1P1P/R1BQ1RK1 b kq - 2 8,22cp,0.5
r2qkb1r/ppp1ppp1/2n2n1p/8/4N1P1/5N2/PPPP1P1P/R1BQ1RK1 w kq - 3 9,-28cp,0.5
r2qkb1r/ppp1ppp1/2n2N1p/8/6P1/5N2/PPPP1P1P/R1BQ1RK1 b kq - 0 9,32cp,0.5
r2qkb1r/ppp2pp1/2n2p1p/8/6P1/5N2/PPPP1P1P/R1BQ1RK1 w kq - 0 10,-28cp,0.5
r2qkb1r/ppp2pp1/2n2p1p/8/3P2P1/5N2/PPP2P1P/R1BQ1RK1 b kq - 0 10,23cp,0.5
r2qk2r/ppp1bpp1/2n2p1p/8/3P2P1/5N2/PPP2P1P/R1BQ1RK1 w kq - 1 11,-23cp,0.5
r2qk2r/ppp1bpp1/2n2p1p/8/3P2P1/5N2/PPP2P1P/R1BQR1K1 b kq - 2 11,19cp,0.5
r2q1rk1/ppp1bpp1/2n2p1p/8/3P2P1/5N2/PPP2P1P/R1BQR1K1 w - - 3 12,-19cp,0.5
r2q1rk1/ppp1bpp1/2n2p1p/8/3P2P1/4BN2/PPP2P1P/R2QR1K1 b - - 4 12,23cp,0.5
r2qr1k1/ppp1bpp1/2n2p1p/8/3P2P1/4BN2/PPP2P1P/R2QR1K1 w - - 5 13,-17cp,0.5
r2qr1k1/ppp1bpp1/2n2p1p/3P4/6P1/4BN2/PPP2P1P/R2QR1K1 b - - 0 13,21cp,0.5
