rnbqkb1r/pppp3p/5ppn/4pP2/2P3P1/8/PP1PP2P/RNBQKBNR w KQkq - 1 5,-79cp,0.5
rnbqkb1r/pppp3p/5ppn/4pP2/2P3P1/4P3/PP1P3P/RNBQKBNR b KQkq - 0 5,75cp,0.5
rnbqkbnr/pppp3p/5pp1/4pP2/2P3P1/4P3/PP1P3P/RNBQKBNR w KQkq - 1 6,-66cp,0.5
rnbqkbnr/pppp3p/5pp1/4pP2/2P3P1/2N1P3/PP1P3P/R1BQKBNR b KQkq - 2 6,57cp,0.5
rnbqkbnr/p1pp3p/1p3pp1/4pP2/2P3P1/2N1P3/PP1P3P/R1BQKBNR w KQkq - 0 7,-16cp,0.5
rnbqkbnr/p1pp3p/1p3pp1/4pP2/2P3P1/2N1P3/PP1P2BP/R1BQK1NR b KQkq - 1 7,30cp,0.5
r1bqkbnr/p1pp3p/1pn2pp1/4pP2/2P3P1/2N1P3/PP1P2BP/R1BQK1NR w KQkq - 2 8,-30cp,0.5
r1bqkbnr/p1pp3p/1pn2pp1/3NpP2/2P3P1/4P3/PP1P2BP/R1BQK1NR b KQkq - 3 8,5cp,0.5
r1bq1bnr/p1pp1k1p/1pn2pp1/3NpP2/2P3P1/4P3/PP1P2BP/R1BQK1NR w KQ - 4 9,-5cp,0.5
r1bq1bnr/p1pp1k1p/1pn2pp1/3NpP2/2P3P1/4P3/PP1PN1BP/R1BQK2R b KQ - 5 9,5cp,0.5
r1bq2nr/p1pp1kbp/1pn2pp1/3NpP2/2P3P1/4P3/PP1PN1BP/R1BQK2R w KQ - 6 10,21cp,0.5
r1bq2nr/p1pp1kbp/1pn2pp1/3NpP2/2P3P1/1P2P3/P2PN1BP/R1BQK2R b KQ - 0 10,-19cp,0.5
r1bq2nr/2pp1kbp/1pn2pp1/p2NpP2/2P3P1/1P2P3/P2PN1BP/R1BQK2R w KQ - 0 11,15cp,0.5
r1bq2nr/2pp1kbp/1pn2pp1/p2NpP2/2P3P1/1P2P1N1/P2P2BP/R1BQK2R b KQ - 1 11,-14cp,0.5
1rbq2nr/2pp1kbp/1pn2pp1/p2NpP2/2P3P1/1P2P1N1/P2P2BP/R1BQK2R w KQ - 2 12,48cp,0.5
1rbq2nr/2pp1kbp/1pn2pp1/p2NpP2/2P3P1/1P2P1N1/P2PK1BP/R1BQ3R b - - 3 12,-57cp,0.5
1rbq2nr/2pp1kbp/1p3pp1/p2NpP2/1nP3P1/1P2P1N1/P2PK1BP/R1BQ3R w - - 4 13,47cp,0.5
